Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,TCC_EA_WRREQ_64B_sum,TCC_EA_WRREQ_sum,SQ_INSTS_VMEM_RD,SQ_INSTS_VMEM_WR,TCP_TCC_READ_REQ_sum,TCP_TCC_WRITE_REQ_sum,TCC_EA_RDREQ_sum,TCC_EA_RDREQ_32B_sum
0,"__amd_rocclr_initHeap.kd",4,0,0,86697,86697,256,256,0,0,12,4,16,64,0x0,0x153c3e2ddc40,2048.0000000000,2048.0000000000,0,130,0.0000000000,2050.0000000000,22.0000000000,0.0000000000
1,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,1,86697,86697,16777216,256,0,1024,44,60,48,64,0x0,0x153c3e2b0b40,39421040.0000000000,39421040.0000000000,10223616,11010048,28124542.0000000000,48234496.0000000000,10294428.0000000000,0.0000000000
2,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,2,86697,86697,16777216,256,0,1024,44,60,48,64,0x0,0x153c3e2b0b40,41704115.0000000000,41704115.0000000000,10223616,11010048,28964222.0000000000,50331648.0000000000,9728294.0000000000,0.0000000000
3,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,3,86697,86697,16777216,256,0,1024,44,60,48,64,0x0,0x153c3e2b0b40,34400255.0000000000,34400255.0000000000,10223616,11010048,31281860.0000000000,54525952.0000000000,8343952.0000000000,0.0000000000
4,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,4,86697,86697,16777216,256,0,1024,44,60,48,64,0x0,0x153c3e2b0b40,40457171.0000000000,41569525.0000000000,10223616,11010048,42384024.0000000000,62914560.0000000000,10595613.0000000000,0.0000000000
5,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,5,86697,86697,16777216,256,0,1024,44,60,48,64,0x0,0x153c3e2b0b40,43725378.0000000000,44095700.0000000000,10223616,11010048,43927556.0000000000,63963136.0000000000,11254840.0000000000,0.0000000000
6,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,6,86697,86697,16777216,256,0,1024,44,60,48,64,0x0,0x153c3e2b0b40,42646613.0000000000,44066510.0000000000,10223616,11010048,43939714.0000000000,63963136.0000000000,12186482.0000000000,0.0000000000
7,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,7,86697,86697,16777216,256,0,1024,44,60,48,64,0x0,0x153c3e2b0b40,44335318.0000000000,51114287.0000000000,10223616,11010048,43955385.0000000000,63963136.0000000000,17266825.0000000000,0.0000000000
8,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,8,86697,86697,16777216,256,0,1024,44,60,48,64,0x0,0x153c3e2b0b40,44454945.0000000000,63830926.0000000000,10223616,11010048,43959640.0000000000,63963136.0000000000,31221573.0000000000,0.0000000000
9,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,9,86697,86697,16777216,256,0,1024,44,60,48,64,0x0,0x153c3e2b0b40,50773362.0000000000,53215629.0000000000,10223616,11010048,37728825.0000000000,58458112.0000000000,20969268.0000000000,0.0000000000
10,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,10,86697,86697,16777216,256,0,1024,44,60,48,64,0x0,0x153c3e2b0b40,43935236.0000000000,45622988.0000000000,10223616,11010048,31998399.0000000000,55312384.0000000000,14242889.0000000000,0.0000000000
11,"copy_kernel(float*, float*, unsigned long, unsigned long, int) [clone .kd]",4,0,11,86697,86697,16777216,256,0,1024,44,60,48,64,0x0,0x153c3e2b0b40,40057803.0000000000,41462954.0000000000,10223616,11010048,29060163.0000000000,53739520.0000000000,10636999.0000000000,0.0000000000
